"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"279","cove_wash","CW098","4/12/2025",3,175,326,118,425
"280","cove_wash","CW098","4/12/2025",4,264,73,995,166
"281","cove_wash","CW098","4/12/2025",5,144,64,87,118
"282","cove_wash","CW073","4/12/2025",1,86,166,172,85
"283","cove_wash","CW073","4/12/2025",2,179,240,43,97
"284","cove_wash","CW073","4/12/2025",3,152,155,171,272
"285","cove_wash","CW073","4/12/2025",4,35,59,120,49
"286","cove_wash","CW073","4/12/2025",5,173,141,137,161
"287","paradise_canyon","PC006","4/13/2025",1,201,161,133,127
"288","paradise_canyon","PC006","4/13/2025",2,158,167,191,163
"289","paradise_canyon","PC006","4/13/2025",3,70,172,101,133
"290","paradise_canyon","PC006","4/13/2025",4,132,151,190,122
"291","paradise_canyon","PC006","4/13/2025",5,138,167,124,156
"292","paradise_canyon","PC094","4/13/2025",1,313,403,196,197
"293","paradise_canyon","PC094","4/13/2025",2,68,87,119,32
"294","paradise_canyon","PC094","4/13/2025",3,102,211,149,107
"295","paradise_canyon","PC094","4/13/2025",4,129,53,87,149
"296","paradise_canyon","PC094","4/13/2025",5,326,480,120,283
"297","sun_river","SR021","4/13/2025",1,140,92,125,105
"298","sun_river","SR021","4/13/2025",2,58,117,157,79
"299","sun_river","SR021","4/13/2025",3,73,82,154,119
"300","sun_river","SR021","4/13/2025",4,275,101,94,71
"301","sun_river","SR021","4/13/2025",5,400,370,505,505
"302","sun_river","SR061","4/13/2025",1,145,443,212,331
"303","sun_river","SR061","4/13/2025",2,505,505,505,505
"304","sun_river","SR061","4/13/2025",3,58,197,98,136
"305","sun_river","SR061","4/13/2025",4,222,386,75,122
"306","sun_river","SR061","4/13/2025",5,165,144,505,99
"307","fort_pearce","FP081","4/14/2025",1,105,151,93,220
"308","fort_pearce","FP081","4/14/2025",2,165,81,95,144
"309","fort_pearce","FP081","4/14/2025",3,74,135,108,146
"310","fort_pearce","FP081","4/14/2025",4,165,136,155,209
"311","fort_pearce","FP081","4/14/2025",5,167,505,505,505
"312","fort_pearce","FP111","4/14/2025",1,270,440,210,212
"313","fort_pearce","FP111","4/14/2025",2,104,106,126,175
"314","fort_pearce","FP111","4/14/2025",3,308,241,168,136
"315","fort_pearce","FP111","4/14/2025",4,121,64,100,185
"316","fort_pearce","FP111","4/14/2025",5,45,104,215,58
"317","fort_pearce","FP145","4/14/2025",1,116,88,101,67
"318","fort_pearce","FP145","4/14/2025",2,71,77,72,87
"319","fort_pearce","FP145","4/14/2025",3,219,208,69,212
"320","fort_pearce","FP145","4/14/2025",4,505,447,505,505
"321","fort_pearce","FP145","4/14/2025",5,117,102,68,69
"322","fort_pearce","FP090","4/14/2025",1,188,271,214,167
"323","fort_pearce","FP090","4/14/2025",2,205,178,148,104
"324","fort_pearce","FP090","4/14/2025",3,178,130,133,157
"325","fort_pearce","FP090","4/14/2025",4,111,127,72,154
"326","fort_pearce","FP090","4/14/2025",5,156,71,133,127
"327","turkey_farm","TF110","4/15/2025",1,218,148,147,176
"328","turkey_farm","TF110","4/15/2025",2,129,190,101,230
"329","turkey_farm","TF110","4/15/2025",3,248,439,176,505
"330","turkey_farm","TF110","4/15/2025",4,105,40,95,212
"331","turkey_farm","TF110","4/15/2025",5,240,385,153,90
"332","turkey_farm","TF119","4/15/2025",1,60,41,61,36
"333","turkey_farm","TF119","4/15/2025",2,90,151,146,77
"334","turkey_farm","TF119","4/15/2025",3,505,356,441,134
"335","turkey_farm","TF119","4/15/2025",4,505,310,252,283
"336","turkey_farm","TF119","4/15/2025",5,46,28,61,54
"337","turkey_farm","TF127","4/15/2025",1,285,308,265,308
"338","turkey_farm","TF127","4/15/2025",2,200,135,175,94
"339","turkey_farm","TF127","4/15/2025",3,53,71,110,185
"340","turkey_farm","TF127","4/15/2025",4,435,89,288,284
"341","turkey_farm","TF127","4/15/2025",5,505,505,505,505
"342","turkey_farm","TF123","4/15/2025",1,494,152,408,236
"343","turkey_farm","TF123","4/15/2025",2,124,78,109,99
"344","turkey_farm","TF123","4/15/2025",3,97,98,122,97
"345","turkey_farm","TF123","4/15/2025",4,84,78,114,206
"346","turkey_farm","TF123","4/15/2025",5,134,319,215,137
"347","turkey_farm","TF100","4/15/2025",1,347,351,536,272
"348","turkey_farm","TF100","4/15/2025",2,149,213,247,132
"349","turkey_farm","TF100","4/15/2025",3,68,299,80,66
"350","turkey_farm","TF100","4/15/2025",4,53,72,80,218
